Geneid	Chr	Start	End	Strand	Length	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S17_S17	S18	S19	S20	S21	S22	S23	S24	S24_S24	S25	S25_S25	S26	S26_S26	S27	S28	S28_S28	S29_S29	S31_S31	S32_S32	S33_S33	gene_name
b0026	NC_000913.3	22391	25207	+	2817	424	159	382	325	426	524	361	578	508	155	77	570	369	414	280	250	212	88	180	454	461	403	202	141	134	1119	412	1537	404	165	443	541	1320	2269	217	139	956	ileS
b0027	NC_000913.3	25207	25701	+	495	95	113	93	58	136	128	158	134	125	161	129	100	117	119	41	42	98	10	19	117	95	113	35	26	21	438	55	791	52	20	60	70	221	487	53	42	207	lspA
b0028	NC_000913.3	25826	26275	+	450	39	39	41	35	55	39	62	82	56	53	31	57	53	74	26	27	25	4	10	57	50	53	15	16	17	111	31	137	46	19	53	54	78	239	16	7	106	fkpB
b0029	NC_000913.3	26277	27227	+	951	67	51	64	41	85	91	103	114	109	62	33	79	73	76	40	32	28	11	20	90	77	61	37	28	33	197	72	298	65	18	94	96	107	405	33	9	142	ispH
b0030	NC_000913.3	27293	28207	+	915	5	2	10	9	11	9	6	2	4	3	1	7	8	7	2	3	2	3	1	12	7	12	2	2	2	5	8	10	4	7	11	8	16	46	23	2	15	rihC
b0031	NC_000913.3	28374	29195	+	822	26	22	23	15	23	74	52	76	70	17	8	29	24	22	12	24	20	15	12	33	15	27	28	24	22	84	78	75	23	15	30	33	71	77	32	14	110	dapB
b0032	NC_000913.3	29651	30799	+	1149	4	12	9	2	11	0	5	2	4	4	2	4	50	17	1	0	2	0	5	48	77	44	2	1	1	9	16	5	4	0	7	11	1	15	127	0	7	carA
b0033	NC_000913.3	30817	34038	+	3222	26	35	14	13	9	3	14	10	9	9	5	16	30	25	7	4	9	8	20	78	82	47	5	3	10	35	66	30	11	4	10	22	29	80	39	14	62	carB
b0034	NC_000913.3	34300	34695	+	396	0	3	3	1	4	2	2	2	5	4	3	8	7	4	1	0	2	0	1	9	6	14	1	0	1	5	21	11	3	1	1	6	1	12	4	1	2	caiF
b0035	NC_000913.3	34781	35371	-	591	1	2	1	0	1	3	1	1	0	0	1	0	1	1	1	0	1	2	1	1	5	1	0	0	1	9	3	8	0	0	1	1	5	4	4	0	3	caiE
b0036	NC_000913.3	35377	36162	-	786	2	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	3	2	1	1	3	caiD
b0037	NC_000913.3	36271	37824	-	1554	2	0	3	0	4	4	7	5	10	0	3	3	12	4	6	5	2	2	3	9	7	9	1	0	1	17	4	7	12	0	9	16	21	50	20	5	19	caiC
b0038	NC_000913.3	37898	39115	-	1218	0	1	3	1	6	6	6	6	4	2	0	2	5	2	9	5	5	2	2	8	10	6	3	3	1	12	7	9	19	1	20	19	10	82	23	4	10	caiB
b0039	NC_000913.3	39244	40386	-	1143	18	6	7	11	5	13	10	8	7	3	1	8	17	17	12	9	6	3	3	18	15	17	9	4	6	19	10	27	33	4	34	45	39	133	37	5	19	caiA
b0040	NC_000913.3	40417	41931	-	1515	0	1	1	0	1	0	1	3	0	1	2	1	3	0	0	0	2	1	0	0	2	1	1	1	0	0	1	0	3	5	2	1	5	4	10	4	3	caiT
b0041	NC_000913.3	42403	43173	+	771	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	3	0	0	0	0	1	0	0	2	1	1	2	0	2	1	1	2	4	1	0	fixA
b0042	NC_000913.3	43188	44129	+	942	0	1	0	1	1	0	0	0	1	2	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	2	1	0	0	1	3	1	1	2	1	1	fixB
b0043	NC_000913.3	44180	45466	+	1287	1	2	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	2	0	1	0	1	0	1	0	4	0	2	0	2	0	0	3	3	0	1	1	fixC
b0044	NC_000913.3	45463	45750	+	288	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	5	0	0	1	0	2	2	0	0	0	fixX
b0045	NC_000913.3	45807	47138	+	1332	0	1	2	1	2	0	1	2	0	1	0	0	1	0	0	0	0	1	0	1	3	2	1	0	0	3	2	3	2	0	1	2	2	4	4	2	5	yaaU
b0046	NC_000913.3	47246	47776	+	531	0	2	0	3	6	1	0	4	1	1	5	0	1	4	3	5	5	1	3	2	1	1	1	2	1	16	1	20	6	2	8	6	14	19	5	1	7	kefF
b0047	NC_000913.3	47769	49631	+	1863	2	4	4	3	8	12	10	8	6	9	6	8	7	8	7	7	5	5	4	11	12	8	8	4	4	34	6	68	11	12	9	7	80	84	25	1	46	kefC
b0048	NC_000913.3	49823	50302	+	480	8	24	22	21	43	9	17	15	10	62	32	24	78	61	2	7	39	22	11	51	67	42	14	7	8	27	10	49	30	48	18	25	49	66	73	12	36	folA
b0049	NC_000913.3	50380	51222	-	843	22	17	24	21	34	25	24	27	38	29	11	29	35	44	14	13	21	8	23	31	49	37	10	10	15	43	30	59	29	30	35	36	112	140	64	8	64	apaH
b0050	NC_000913.3	51229	51606	-	378	17	12	24	14	38	25	16	33	29	20	22	24	46	29	18	19	16	5	16	20	29	25	13	7	12	34	36	114	27	30	44	17	56	82	41	9	32	apaG
b0051	NC_000913.3	51609	52430	-	822	59	42	54	58	78	50	41	50	79	45	39	93	66	85	46	50	45	29	26	74	106	82	38	22	28	100	79	347	110	87	86	102	217	370	127	64	157	rsmA
b0052	NC_000913.3	52427	53416	-	990	61	29	68	58	79	79	40	64	81	19	10	78	71	92	37	44	44	7	27	88	81	84	43	22	15	134	62	107	80	20	94	78	207	374	51	17	165	pdxA
b0053	NC_000913.3	53416	54702	-	1287	184	112	238	188	245	198	146	226	215	106	57	242	204	277	127	122	158	20	148	313	277	296	111	56	70	443	192	883	219	121	239	222	720	1038	186	53	474	surA
b0054	NC_000913.3	54755	57109	-	2355	157	131	237	188	241	217	176	215	253	205	93	352	232	289	107	163	193	63	164	289	278	298	139	91	136	445	259	944	323	303	309	336	772	942	406	110	392	lptD
b0055	NC_000913.3	57364	58179	+	816	12	11	8	12	25	23	11	17	13	9	9	29	22	27	15	11	18	10	7	18	29	23	14	8	2	14	27	20	42	9	55	58	51	163	72	6	44	djlA
b0056	NC_000913.3	58474	59124	+	651	2	3	5	4	14	8	4	9	7	2	5	7	7	9	3	4	9	2	1	7	6	9	4	2	2	3	8	4	12	2	11	10	5	30	16	3	7	yabP
b0057	NC_000913.3	59121	59279	+	159	1	0	0	4	1	1	1	0	3	1	2	4	2	5	0	0	3	0	0	4	0	3	0	1	1	0	0	6	3	0	2	5	1	5	4	0	3	yabQ
b0058	NC_000913.3	59687	60346	-	660	27	23	18	11	19	28	21	20	17	8	17	31	30	24	10	17	19	12	7	28	35	31	20	14	9	119	20	172	34	20	25	40	63	79	26	23	41	rluA
b0059	NC_000913.3	60358	63264	-	2907	86	21	60	46	74	56	49	41	47	41	31	91	141	98	51	23	23	10	34	97	176	129	75	35	35	164	80	286	152	28	137	164	160	335	46	33	191	rapA
b0060	NC_000913.3	63429	65780	-	2352	31	13	34	25	34	49	52	57	59	26	15	48	37	40	45	46	26	28	21	32	35	35	28	16	18	89	43	231	136	60	165	152	216	534	98	18	105	polB
b0061	NC_000913.3	65855	66550	-	696	1	0	0	2	2	1	1	2	1	1	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	6	1	6	0	0	1	0	0	1	0	0	2	araD
b0062	NC_000913.3	66835	68337	-	1503	1	1	2	3	2	5	3	2	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14	0	40	0	0	0	0	0	0	0	1	0	araA
b0063	NC_000913.3	68348	70048	-	1701	1	3	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	18	0	0	0	0	0	0	0	0	0	araB
b0064	NC_000913.3	70387	71265	+	879	13	8	12	23	15	5	5	11	7	13	4	12	4	19	7	13	13	7	13	21	12	19	7	5	2	50	5	123	22	44	13	14	138	110	44	29	49	araC
b0065	NC_000913.3	71351	72115	+	765	31	48	43	48	55	101	70	143	72	40	46	68	34	44	25	64	59	14	30	37	54	40	45	38	15	134	36	306	80	69	52	76	217	167	164	50	179	yabI
b0066	NC_000913.3	72229	72927	-	699	8	3	5	12	10	18	14	33	24	7	7	8	10	2	5	12	3	2	3	11	9	5	12	2	3	27	15	54	28	11	20	20	29	62	20	9	30	thiQ
b0067	NC_000913.3	72911	74521	-	1611	5	0	4	0	11	6	3	6	8	4	0	3	10	10	4	1	1	1	0	5	7	6	3	2	2	4	14	5	8	0	7	3	5	24	4	8	17	thiP
b0068	NC_000913.3	74497	75480	-	984	1	1	7	8	11	4	5	4	6	10	6	13	16	12	4	2	3	0	2	18	17	13	6	2	3	5	20	8	16	4	13	14	5	39	10	3	26	thiB
b4762	NC_000913.3	75516	75608	-	93	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	2	0	0	2	2	2	1	0	0	2	2	2	1	0	3	1	1	7	4	0	3	sroA
b0069	NC_000913.3	75644	77299	-	1656	6	4	11	11	10	12	17	11	10	4	1	8	15	10	14	10	4	1	10	10	9	10	3	3	3	29	37	22	30	8	30	24	48	112	59	11	41	sgrR
b4577	NC_000913.3	77367	77593	+	227	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	2	0	sgrS
b4662	NC_000913.3	77388	77519	+	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sgrT
b0070	NC_000913.3	77621	78799	+	1179	4	7	14	11	16	3	14	8	8	21	13	8	10	18	8	11	8	1	3	18	19	13	7	1	1	7	10	24	21	5	14	10	26	39	9	3	7	setA
b0071	NC_000913.3	78848	79453	-	606	7	8	12	9	12	16	16	15	6	5	8	6	9	11	5	2	14	0	8	11	12	11	7	5	7	29	6	118	6	18	9	14	37	45	27	7	27	leuD
b0072	NC_000913.3	79464	80864	-	1401	13	7	16	5	19	20	26	16	10	7	3	8	8	14	10	12	11	8	5	13	11	11	5	5	4	21	10	73	7	5	9	8	55	51	7	4	31	leuC
b0073	NC_000913.3	80867	81958	-	1092	5	5	10	5	12	16	22	4	14	17	7	6	8	16	2	5	9	2	7	10	8	7	5	3	6	17	5	50	11	8	3	5	26	34	7	4	26	leuB
b0074	NC_000913.3	81958	83529	-	1572	14	9	17	11	16	20	57	4	16	26	23	11	10	18	6	5	18	2	2	18	13	16	11	5	2	7	13	12	11	2	6	5	17	22	14	2	21	leuA
b0075	NC_000913.3	83622	83708	-	87	3	5	2	2	6	3	0	0	2	2	3	1	3	3	0	1	6	0	1	2	0	4	1	1	0	0	0	3	0	0	0	0	0	1	0	1	2	leuL
b0076	NC_000913.3	84368	85312	+	945	4	0	2	2	2	3	1	0	0	0	4	3	3	6	2	1	2	1	1	4	3	3	1	0	1	2	1	5	5	1	2	3	1	2	21	5	5	leuO
b4726	NC_000913.3	85467	85511	-	45	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yabR
b0077	NC_000913.3	85630	87354	+	1725	8	5	14	6	23	19	44	20	20	13	11	11	18	11	5	1	9	12	6	13	15	18	15	6	5	21	39	37	21	13	13	12	27	66	13	12	38	ilvI
b0078	NC_000913.3	87357	87848	+	492	0	5	3	2	4	10	8	9	4	6	4	1	2	3	3	3	6	2	2	2	5	5	1	2	5	15	8	23	4	0	4	4	3	9	4	2	8	ilvH
b0080	NC_000913.3	88028	89032	+	1005	96	42	122	96	118	63	52	51	62	74	32	93	106	111	40	42	78	13	61	136	118	139	41	19	10	101	104	115	81	58	86	124	196	525	92	22	165	cra
b0081	NC_000913.3	89634	90092	+	459	54	107	71	54	82	51	71	45	47	195	139	79	75	112	27	32	81	31	31	85	90	75	18	30	22	129	64	126	66	54	61	61	170	260	99	34	99	mraZ
b0082	NC_000913.3	90094	91035	+	942	93	86	92	57	86	83	52	63	77	115	72	99	97	94	38	34	98	12	31	104	112	97	24	26	34	169	62	316	79	50	73	89	192	234	53	21	77	rsmH
b0083	NC_000913.3	91032	91397	+	366	42	24	25	25	33	37	17	31	21	27	16	38	27	24	10	13	31	16	13	31	45	43	7	8	8	130	18	358	26	21	27	35	153	199	18	12	65	ftsL
b0084	NC_000913.3	91413	93179	+	1767	61	35	47	38	35	85	37	92	75	42	13	77	54	60	27	37	45	6	29	59	54	54	20	10	21	146	64	395	61	18	76	66	208	251	14	6	52	ftsI
b4810	NC_000913.3	92485	92658	+	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ftsO
b0085	NC_000913.3	93166	94653	+	1488	117	57	76	74	92	71	47	71	62	39	15	138	96	98	36	39	46	11	36	118	97	91	23	16	15	227	86	332	101	22	109	91	482	704	33	9	166	murE
b0086	NC_000913.3	94650	96008	+	1359	67	33	69	43	61	65	46	57	74	14	12	101	76	86	49	43	33	11	36	89	57	66	22	20	23	196	75	257	72	11	76	85	333	604	15	7	90	murF
b0087	NC_000913.3	96002	97084	+	1083	40	25	50	38	41	40	19	38	56	21	10	63	36	39	24	32	29	9	19	40	39	44	14	11	9	196	51	238	41	28	70	66	287	746	17	10	81	mraY
b0088	NC_000913.3	97087	98403	+	1317	72	33	93	68	81	55	36	71	82	21	13	107	71	87	48	45	35	6	34	92	74	75	8	11	18	201	86	282	91	20	96	120	337	1051	16	6	105	murD
b0089	NC_000913.3	98403	99647	+	1245	32	36	57	51	52	37	32	65	83	12	4	69	34	35	34	29	33	6	19	58	54	57	10	10	21	112	57	218	72	9	77	72	274	596	11	8	66	ftsW
b0090	NC_000913.3	99644	100711	+	1068	41	31	41	48	67	44	29	40	40	27	14	70	45	50	38	18	29	1	13	72	53	59	16	9	14	111	53	144	65	9	69	77	143	342	6	11	65	murG
b0091	NC_000913.3	100765	102240	+	1476	50	24	63	39	66	48	26	46	52	19	7	87	55	51	43	25	34	12	32	81	70	75	19	11	14	138	59	197	64	13	57	79	272	836	12	6	144	murC
b0092	NC_000913.3	102233	103153	+	921	45	33	41	44	59	33	43	64	64	15	12	65	35	63	38	31	35	2	24	53	51	50	14	8	16	155	74	269	45	22	92	89	264	575	45	16	113	ddlB
b0093	NC_000913.3	103155	103985	+	831	45	45	54	35	50	40	65	48	56	52	38	67	46	85	30	38	40	8	15	62	53	56	21	19	8	179	62	439	66	26	82	67	264	723	38	17	122	ftsQ
b0094	NC_000913.3	103982	105244	+	1263	73	80	80	54	95	53	62	54	73	82	65	128	96	107	46	63	62	19	33	98	107	97	21	14	23	210	96	518	88	46	104	133	351	1007	46	14	175	ftsA
b0095	NC_000913.3	105305	106456	+	1152	171	84	193	151	212	93	119	102	115	94	63	205	194	227	90	98	116	19	92	250	231	203	61	37	65	416	185	991	221	80	218	292	822	1804	91	58	478	ftsZ
b0096	NC_000913.3	106557	107474	+	918	1037	1547	1352	1074	1507	989	1056	1192	1068	1534	1536	1184	1433	1468	638	786	1322	970	602	1374	1608	1310	420	346	451	4917	783	7005	1774	3168	1510	2044	4319	6215	3224	1257	2858	lpxC
b0097	NC_000913.3	107705	108217	+	513	45	26	49	31	52	42	44	64	59	40	16	71	56	57	39	32	46	9	21	73	78	61	19	12	18	34	105	65	147	21	127	165	109	404	49	7	49	secM
b0098	NC_000913.3	108279	110984	+	2706	225	129	223	185	258	186	159	282	295	73	38	305	211	218	157	123	94	33	90	257	217	262	75	47	63	255	337	337	414	82	522	610	469	1598	127	35	279	secA
b0099	NC_000913.3	111044	111433	+	390	4	6	3	6	2	2	1	3	2	3	3	3	5	5	3	4	0	0	3	8	11	12	3	1	0	5	1	10	12	3	10	16	11	16	6	1	1	mutT
b0101	NC_000913.3	111649	111846	-	198	5	6	6	6	6	5	7	8	13	3	1	6	5	9	0	2	5	1	2	7	10	11	2	0	4	9	5	21	11	1	6	11	49	65	11	3	18	yacG
b0102	NC_000913.3	111856	112599	-	744	17	9	20	20	18	8	17	23	19	16	4	15	16	19	10	24	17	2	13	23	33	29	10	5	9	30	14	38	25	10	24	45	46	94	15	5	23	zapD
b0103	NC_000913.3	112599	113219	-	621	3	10	11	8	14	11	2	12	9	26	7	14	12	12	10	9	15	3	3	12	12	19	7	8	8	16	16	31	29	11	18	14	35	79	16	2	18	coaE
b4727	NC_000913.3	113244	113288	+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	yacM
b0104	NC_000913.3	113444	114487	+	1044	41	19	48	25	84	29	42	25	18	47	18	55	75	62	14	13	30	2	15	85	106	93	40	18	29	30	126	59	28	13	28	44	33	94	44	13	62	guaC
b0106	NC_000913.3	114522	115724	-	1203	0	1	6	5	4	3	5	4	0	2	2	4	3	4	1	4	3	3	0	4	6	7	1	0	2	2	11	3	10	1	5	7	3	21	8	5	2	hofC
b0107	NC_000913.3	115714	117099	-	1386	2	8	7	6	10	9	8	7	9	11	1	4	4	5	2	4	6	2	0	3	11	8	7	3	3	7	11	15	13	8	16	13	11	16	8	4	12	hofB
b0108	NC_000913.3	117109	117549	-	441	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	1	2	0	3	0	1	0	4	0	3	0	1	2	0	4	5	1	1	1	ppdD
b0109	NC_000913.3	117752	118645	-	894	29	13	45	29	36	32	38	37	38	23	4	37	22	29	11	25	17	21	16	33	35	37	27	16	14	45	35	33	47	32	41	41	118	145	71	23	66	nadC
b0110	NC_000913.3	118733	119284	+	552	15	10	13	15	23	6	3	4	6	11	4	24	16	14	8	10	19	0	11	24	21	31	2	3	3	13	12	16	15	17	13	10	13	35	21	2	8	ampD
b0111	NC_000913.3	119281	120135	+	855	21	11	23	16	29	9	7	13	18	10	7	26	14	14	9	4	14	2	7	33	23	12	5	3	3	24	13	29	11	20	9	9	32	62	24	5	17	ampE
b0112	NC_000913.3	120178	121551	-	1374	17	27	31	25	33	57	78	151	90	23	12	29	30	31	10	17	18	6	17	20	35	22	28	8	15	139	63	206	28	15	28	29	39	124	49	18	78	aroP
b0113	NC_000913.3	122092	122856	+	765	19	13	40	49	34	8	22	24	21	32	15	40	57	40	6	16	16	25	10	37	68	30	17	6	4	38	61	56	48	35	22	54	38	281	112	39	117	pdhR
b0114	NC_000913.3	123017	125680	+	2664	320	147	424	354	424	108	136	189	233	112	41	479	520	425	159	131	183	99	195	452	635	469	174	82	67	489	703	1327	294	289	321	334	884	2547	491	180	1398	aceE
b0115	NC_000913.3	125695	127587	+	1893	217	100	287	254	328	114	97	297	208	55	39	352	352	333	108	83	116	112	137	323	427	353	114	46	38	684	526	1984	176	246	179	204	856	2959	385	195	1145	aceF
b0116	NC_000913.3	127912	129336	+	1425	639	281	1158	913	1025	155	157	244	299	168	71	1073	721	807	750	522	273	46	325	1029	877	926	194	80	112	284	631	569	1195	136	1107	1384	1967	3798	288	91	773	lpd
b0117	NC_000913.3	129407	131260	-	1854	3	4	6	4	4	1	6	12	10	4	2	5	1	6	6	9	9	9	2	7	4	1	9	7	8	22	12	21	11	10	9	17	45	66	33	9	16	yacH
b0118	NC_000913.3	131615	134212	+	2598	1817	864	3100	2501	2861	1575	880	3156	1663	466	198	2349	1426	1791	1272	1083	934	142	723	2514	1813	2235	540	303	305	2612	973	4587	1138	304	1086	1263	5238	4223	578	239	2159	acnB
b0119	NC_000913.3	134388	134750	+	363	29	55	32	31	56	48	51	31	30	48	40	40	50	56	25	24	46	16	16	32	52	39	47	25	26	49	105	245	39	96	43	54	101	71	264	59	51	yacL
b0120	NC_000913.3	134788	135582	-	795	77	37	100	82	116	64	76	76	82	24	16	123	131	102	52	27	29	7	28	137	132	114	75	22	58	44	189	75	178	19	121	148	61	210	23	20	79	speD
b0121	NC_000913.3	135598	136464	-	867	46	23	104	65	113	35	75	46	83	40	8	146	110	99	50	33	44	3	31	129	157	98	59	25	48	39	170	51	177	20	133	161	73	243	40	11	144	speE
b0122	NC_000913.3	136570	136917	-	348	23	20	33	36	47	56	20	35	40	39	8	26	39	36	2	6	33	4	12	52	43	41	17	15	15	24	9	30	20	19	11	22	9	28	78	10	26	yacC
b0123	NC_000913.3	137083	138633	+	1551	27	88	45	61	68	32	27	9	18	55	24	34	40	100	42	110	77	74	48	125	62	68	11	4	12	155	14	71	58	360	25	34	837	120	339	25	54	cueO
b0124	NC_000913.3	138835	141225	-	2391	20	26	28	24	39	51	52	79	61	47	35	37	20	42	35	48	48	31	22	37	38	33	25	9	26	99	59	339	185	148	106	96	300	195	396	78	135	gcd
b0125	NC_000913.3	141431	141967	+	537	47	36	55	51	56	24	16	28	23	40	14	70	84	52	25	24	29	12	10	72	51	59	25	10	21	25	46	33	64	31	65	73	49	107	58	16	60	hpt
b0126	NC_000913.3	142008	142670	-	663	47	57	76	49	96	59	52	64	64	67	40	97	95	81	39	43	71	14	38	95	108	88	42	29	35	65	70	103	120	56	101	99	135	138	114	21	69	can
b0127	NC_000913.3	142779	143705	+	927	29	21	44	20	30	33	35	32	33	46	16	41	26	47	26	16	28	4	23	36	47	41	14	16	19	35	35	80	78	22	62	68	61	63	54	8	41	yadG
b0128	NC_000913.3	143702	144472	+	771	39	20	24	24	32	36	39	26	26	14	9	25	24	22	19	22	21	22	16	34	19	39	8	9	15	139	30	176	32	53	29	39	104	138	60	28	72	yadH
b0129	NC_000913.3	144577	145017	+	441	9	10	9	8	18	15	11	9	7	19	10	7	20	15	5	3	11	8	6	13	24	14	4	5	2	8	25	24	15	5	20	25	22	74	14	2	26	yadI
b0130	NC_000913.3	145081	146310	+	1230	8	7	11	6	14	14	14	12	15	19	7	12	10	26	7	2	9	5	5	14	26	20	9	5	10	16	20	27	30	4	22	34	30	101	25	7	16	yadE
